Role Category,Role Subcategory,Role Hierarchy,Role title,Variants,Role class on Compass,Hierarchy or Location,Line manager to help make the application,"Approval process 
(see 4.5)",Approver,Relevant Commissioner or body,Responsible for induction,"Getting Started requirement for full appointment 
(within 5 months)",Training Obligations,Minimum Membership,Ex Officio Charity Trustee role?sv,Criminal Records Disclosure Check Required?++,Appointment Review Required?
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Area Commissioner - Scout Network Support,None, Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner ,Various, Commissioner,County,County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant County Commissioner - International,None, Commissioner,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Area Commissioner - International,None, Commissioner,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Scout County or equivalent,Assistant Regional Commissioner Growth (Scotland),Growth, Commissioner,Scotland,Regional Commissioner or nominee,1,Regional Appointments Advisory Committee,Regional Commissioner or nominee,Regional Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",England Region,Assistant Regional Commissioner,Growth, Commissioner,England,Regional Commissioner,Headquarters Search Group Process,UK Headquarters Appointments Advisory Committee,"Chief Commissioner of England
Deputy UK Chief Commissioner",Deputy UK Chief Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - Beaver Support,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - Cub Support,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - Scout Support,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - Explorer Support,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - Network Support,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - Inclusion,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Assistant Country Commissioner - International,None, Commissioner,Northern Ireland,Country Commissioner or nominee,1,Country Appointments Advisory Committee,Country Commissioner or nominee,Country Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Scotland Commissioner (Section),"Beavers, Cubs, Scouts, Explorer Scouts, Scout Network", Commissioner,Scotland,Chief  Commissioner of Scotland,1,Scottish Appointments Advisory Committee,Chief  Commissioner of Scotland or nominee,Chief  Commissioner of Scotland or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Assistant District, County and Regional Commissioners",Countries,Scotland Commissioner ,Various, Commissioner,Scotland,Chief  Commissioner of Scotland,1,Scottish Appointments Advisory Committee,Chief  Commissioner of Scotland or nominee,Chief  Commissioner of Scotland or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout District,District Camp Warden,None,Supporter,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout District,Assistant District Camp Warden,None,Supporter,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes ,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout District,District Centre Manager,None,Supporter,District,District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,County Camp Warden,None,Supporter,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Assistant County Camp Warden,None,Supporter,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,County Centre Manager,None,Supporter,"England, Northern Ireland",County Chair,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Area Camp Warden,None,Supporter,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Assistant Area Camp Warden,None,Supporter,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Area Centre Manager,None,Supporter,"Wales, BSO",Area Chair,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Regional (Scotland) Camp Warden,None,Supporter,Scotland,Regional (Scotland) Chair,3,Regional (Scotland) Executive Committee,Regional (Scotland) Executive Committee,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Assistant Regional (Scotland) Camp Warden,None,Supporter,Scotland,Regional (Scotland) Chair,3,Regional (Scotland) Executive Committee,Regional (Scotland) Executive Committee,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Scout County or equivalent,Regional (Scotland) Centre Manager,None,Supporter,Scotland,Regional (Scotland) Chair,3,Regional (Scotland) Executive Committee,Regional (Scotland) Executive Committee,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Countries,NI Commissioner - Crawfordsburn,None,Supporter,Northern Ireland,Country Commissioner,3,Country Executive Committee,Country Executive Committee,Senior Staff Member,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Countries,Country Camp Warden,None,Supporter,Northern Ireland,Country Chair or nominee,3,Country Executive Committee,Country Executive Committee,Senior Staff Member,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Camp site and Centre volunteers,Countries,Country Centre Manager,None,Supporter,"England, Northern Ireland",Country Chair or nominee,3,Country Executive Committee,Country Executive Committee,Country Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Scout Group,Group Chaplain,None,Supporter,Group,Group Scout Leader,3,Group Executive Committee,Group Executive Committee,Group Scout Leader ,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Scout District,District Chaplain,None,Supporter,District,District Commissioner,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Scout County or equivalent,County Chaplain,None,Supporter,"England, Northern Ireland",County Commissioner,3,County Executive Committee,County Executive Committee,County Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Scout County or equivalent,Area Chaplain,None,Supporter,"Wales, BSO",Area Commissioner,3,Area Executive Committee,Area Executive Committee,Area Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Scout County or equivalent,Regional (Scotland) Chaplain,None,Supporter,Scotland,Regional (Scotland) Commissioner,3,Regional (Scotland) Executive Committee,Regional (Scotland) Executive Committee,Regional (Scotland) Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Countries,Country Chaplain,None,Supporter,Northern Ireland,Country Commissioner,3,Country Executive Committee,Country Executive Committee,Country Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Chaplains,Countries,Country Chaplain,None,Supporter,Scotland,Chief Commissioner of Scotland,3,Scottish Trustee Board,Scottish Trustee Board,Chief Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Communication,Scout Group,Group Communications Manager,None,Supporter,Group (note: not a role in Scotland),Group Chair,3,Group Executive Committee,Group Executive Committee,Group Chair ,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,Yes,No
SUPPORT ROLES,SUPPORT ROLES - Communication,Scout District,District Communications Manager,None,Supporter,District (note: not a role in Scotland),District Chair,3,District Executive Committee,District Executive Committee,District Chair,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Communication,Scout County or equivalent,County Communications Manager,None,Supporter,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Communication,Scout County or equivalent,Area Communications Manager,None,Supporter,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,No requirement,"Modules 1, GDPR, Safety, Safeguarding (Within 5 months)",Member,No,No,Yes
SUPPORT ROLES,SUPPORT ROLES - Communication,Scout County or equivalent,Assistant Regional Commissioner Communications (Scotland),None,Supporter,Scotland,Regional (Scotland) Commissioner or nominee,1,Regional (Scotland) Appointments Advisory Committee,Regional (Scotland) Commissioner or nominee,Regional (Scotland) Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[M&S] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Contingent roles for major events,UK Headquarters - Roles for major events,Contingent Leader,Name of event,Leader,"World Jamborees, Moots and similar events",UK Commissioner for Programme,4,UK Headquarters Appointments Advisory Committee,UK Commissioner for Programme,UK Commissioner for Programme,"Modules 1, GDPR, Safety, Safeguarding and 4 if not completed within 3 years prior to the role start date.","It is strongly recommended that role holders have the relevant Wood Badge and First Aid Certificate prior to appointment, or are close to completing both.",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Contingent roles for major events,UK Headquarters - Roles for major events,Deputy Contingent Leader,Name of event,Leader,"World Jamborees, Moots and similar events",UK Commissioner for Programme or nominee,4,UK Headquarters Appointments Advisory Committee,UK Commissioner for Programme or nominee,UK Commissioner for Programme or nominee,"Modules 1, GDPR, Safety, Safeguarding and 4 if not completed within 3 years prior to the role start date.","It is strongly recommended that role holders have the relevant Wood Badge and First Aid Certificate prior to appointment, or are close to completing both.",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Contingent roles for major events,UK Headquarters - Roles for major events,Contingent Management Team Member,Name of event,Leader,"World Jamborees, Moots and similar events",Contingent Leader,4,UK Headquarters Appointments Advisory Committee,Contingent Leader,Contingent Manager,"Modules 1, GDPR, Safety, Safeguarding and 4 if not completed within 3 years prior to the role start date.","It is strongly recommended that role holders have the relevant Wood Badge and First Aid Certificate prior to appointment, or are close to completing both.",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Contingent roles for major events,UK Headquarters - Roles for major events,Contingent Support Team Member,Name of event,Leader,"World Jamborees, Moots and similar events",Contingent Leader,4,Contingent Leader,Contingent Leader,Contingent Manager,"Modules 1, GDPR, Safety, Safeguarding and 4 if not completed within 3 years prior to the role start date.",No requirement,Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout District,District Leader - Beaver Support,None,Leader,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout District,District Leader - Cub Support,None,Leader,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout District,District Leader - Scout Support,None,Leader,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout District,District Leader - Explorer Support,None,Leader,District (note: not a role in Scotland),District Explorer Scout Commissioner,1,District Appointments Advisory Committee,District Commissioner or nominee,District Explorer Scout Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout District,District Leader,Various,Leader,District,District Commissioner or nominee,1,District Appointments Advisory Committee,District Commissioner or nominee,District Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 4","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,County Leader - Beaver Support,None,Leader,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,Area Leader - Beaver Support,None,Leader,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,County Leader - Cub Support,None,Leader,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,Area Leader - Cub Support,None,Leader,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,County Leader - Scout Support,None,Leader,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,Area Leader - Cub Support,None,Leader,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,County Leader - Explorer Support,None,Leader,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,Area Leader - Explorer Support,None,Leader,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,County Leader - Network Support,None,Leader,"England, Northern Ireland",County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,Area Leader - Network  Support,None,Leader,"Wales, BSO",Area Commissioner or nominee,1,Area Appointments Advisory Committee,Area Commissioner or nominee,Area Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,"SUPPORT ROLES - Leader roles on District, County & Country Teams",Scout County or equivalent,County Leader ,Various,Leader,County,County Commissioner or nominee,1,County Appointments Advisory Committee,County Commissioner or nominee,County Commissioner or nominee,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate 
(within 3 years)",Member,No,Yes,Yes
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout Group,Group President,None,Honorary,Group,Group Chair,2,Group Scout Council at the AGM,Group Scout Council,Group Chair,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout Group,Group Vice President,None,Honorary,Group,Group Chair,2,Group Scout Council at the AGM,Group Scout Council,Group Chair,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout District,District President,None,Honorary,District,District Chair,2,District Scout Council at the AGM,District Scout Council,District Chair ,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout District,District Vice President,None,Honorary,District,District Chair,2,District Scout Council at the AGM,District Scout Council,District Chair,No requirement,No requirement,Associate Member,No,No ,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout County or equivalent,County President,None,Honorary,"England, Northern Ireland",County Chair,2,County Scout Council at the AGM,County Scout Council,County Chair ,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout County or equivalent,County Vice President,None,Honorary,"England, Northern Ireland",County Chair,2,County Scout Council at the AGM,County Scout Council,County Chair,No requirement,No requirement,Associate Member,No,No ,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout County or equivalent,Area President,None,Honorary,"Wales, BSO",Area Chair,2,Area Scout Council at the AGM,Area Scout Council,Area Chair ,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout County or equivalent,Area Vice President,None,Honorary,"Wales, BSO",Area Chair,2,Area Scout Council at the AGM,Area Scout Council,Area Chair,No requirement,No requirement,Associate Member,No,No ,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout County or equivalent,Regional President (Scotland),None,Honorary,Scotland,Regional Chair,2,Regional Scout Council at AGM,Regional Scout Council,Regional Chair,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Scout County or equivalent,Regional Vice President (Scotland),None,Honorary,Scotland,Regional Chair,2,Regional Scout Council at AGM,Regional Scout Council,Regional Chair,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Country,Country President,None,Honorary,"Northern Ireland, Wales, Scotland",Country Chair,2,Country Scout Council at its AGM,Country Scout Council,Country Chair,No requirement,No requirement,Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Country,Country Vice President,None,Honorary,"Northern Ireland, Wales, Scotland",Country Chair,2,Country Scout Council at its AGM,Country Scout Council,Country Chair,No requirement,No requirement,Associate Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Headquarters,President,None,Honorary,Headquarters,n/a,n/a,The Patron,The Patron,Chair of UK Board,No requirement,No requirement,Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Presidents and Vice Presidents,Headquarters,Vice President,None,Honorary,Headquarters,Chair of UK Board,4,TSA Scout Council at the AGM,TSA Scout Council,Chair of UK Board,No requirement,No requirement,Member,No,No,No
SUPPORT ROLES,SUPPORT ROLES - Safety and Safeguarding,Scout County or equivalent,County Safeguarding Adviser,None,Advisor,"England, Northern Ireland",County Commissioner or equivalent ,1,County Commissioner or equivalent ,County Commissioner or equivalent ,County Commissioner or equivalent ,"Module 1, Safety, Safeguarding and GDPR",None,Associate Member,No,No ,Yes 
SUPPORT ROLES,SUPPORT ROLES - Safety and Safeguarding,Scout County or equivalent,Area Safeguarding Adviser,None,Advisor,"Wales, BSO",Area Commissioner or equivalent ,1,Area Commissioner or equivalent ,Area Commissioner or equivalent ,Area Commissioner or equivalent ,"Module 1, Safety, Safeguarding and GDPR",None,Associate Member,No,No ,Yes 
SUPPORT ROLES,SUPPORT ROLES - Safety and Safeguarding,Scout County or equivalent,Region (Scotland) Safeguarding Adviser,None,Advisor,Scotland,Region (Scotland) Commissioner or equivalent ,1,Region (Scotland) Commissioner or equivalent ,Region (Scotland) Commissioner or equivalent ,Region (Scotland) Commissioner or equivalent ,"Module 1, Safety, Safeguarding and GDPR",None,Associate Member,No,No ,Yes 
SUPPORT ROLES,SUPPORT ROLES - Safety and Safeguarding,Scout County or equivalent,County Safety Adviser,None,Advisor,"England, Northern Ireland",County Commissioner or equivalent ,1,County Commissioner or equivalent ,County Commissioner or equivalent ,County Commissioner or equivalent ,"Module 1, Safety, Safeguarding and GDPR",None ,Associate Member,No,No ,Yes 
